Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Pts,Away Team,Away Elo,Away Pts,Home W,Home Pt Diff
2023-01-29,@ PHI,0,1,SFO vs. PHI,PHI,1690.988722380261,31,SFO,1809.6242764988494,7,1,24
2022-10-16,@ PIT,0,0,TAM vs. PIT,PIT,1363.9575679080301,20,TAM,1541.1447762497723,18,1,2
2022-09-18,@ SFO,1,0,SEA vs. SFO,SFO,1450.0,27,SEA,1550.0,7,1,20
2022-11-13,@ TAM,0,0,SEA vs. TAM,TAM,1430.3731145369718,21,SEA,1637.363082658096,16,1,5
2022-12-15,@ SEA,1,0,SFO vs. SEA,SEA,1550.0,13,SFO,1450.0,21,0,-8
2023-01-14,@ SFO,1,1,SEA vs. SFO,SFO,1760.4750504778622,41,SEA,1492.8373997475148,23,1,18
2022-12-11,@ SFO,0,0,TAM vs. SFO,SFO,1675.6615861387631,35,TAM,1479.35333094935,7,1,28
2022-12-24,@ SFO,0,0,WAS vs. SFO,SFO,1718.8352587501097,37,WAS,1506.4146125082902,20,1,17
2022-10-09,@ WAS,0,0,TEN vs. WAS,WAS,1417.1957068610109,17,TEN,1514.0030946332358,21,0,-4
2022-12-04,@ NYG,1,0,WAS vs. NYG,NYG,1516.1197508784699,20,WAS,1638.1354444810681,20,1,0
