Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff
2025-10-05,@ CAR,0,0,MIA vs. CAR,CAR,1423.7024074267358,22.0,27,MIA,1426.2623548040356,22.0,24,1,3
2025-10-12,@ CAR,0,0,DAL vs. CAR,CAR,1474.0708068019208,15.0,30,DAL,1439.3917450469417,15.0,27,1,3
2025-10-19,@ NYJ,0,0,CAR vs. NYJ,NYJ,1279.1234420742767,30.0,6,CAR,1519.0965968727935,17.0,13,0,-7
2025-09-08,@ CHI,1,0,MIN vs. CHI,CHI,1500.0,1.0,24,MIN,1500.0,1.0,27,0,-3
2025-09-14,@ DET,1,0,CHI vs. DET,DET,1450.0,17.0,52,CHI,1450.0,17.0,21,1,31
2025-09-21,@ CHI,0,0,DAL vs. CHI,CHI,1400.0,23.0,31,DAL,1500.0,11.0,14,1,17
2025-09-28,@ LVR,0,0,CHI vs. LVR,LVR,1450.0,17.0,24,CHI,1464.0064999802885,17.0,25,0,-1
2025-10-13,@ WAS,0,0,CHI vs. WAS,WAS,1545.4232603825553,8.0,24,CHI,1511.991893872262,12.0,25,0,-1
2025-10-19,@ CHI,0,0,NOR vs. CHI,CHI,1566.7882603518717,14.0,26,NOR,1388.9685801957658,25.0,14,1,12
2025-09-07,@ CLE,1,0,CIN vs. CLE,CLE,1500.0,1.0,16,CIN,1500.0,1.0,17,0,-1
2025-09-14,@ CIN,0,0,JAX vs. CIN,CIN,1550.0,1.0,31,JAX,1550.0,1.0,27,1,4
2025-09-21,@ MIN,0,0,CIN vs. MIN,MIN,1485.9935000197115,11.0,48,CIN,1600.0,1.0,10,1,38
2025-09-29,@ DEN,0,0,CIN vs. DEN,DEN,1464.0064999802885,17.0,28,CIN,1534.157706389236,7.0,3,1,25
2025-10-05,@ CIN,0,0,DET vs. CIN,CIN,1474.197128121246,12.0,24,DET,1589.5052281807828,3.0,37,0,-13
2025-10-12,@ GNB,0,0,CIN vs. GNB,GNB,1461.6208356692227,12.0,27,CIN,1440.2077316405778,15.0,18,1,9
2025-10-16,@ CIN,1,0,PIT vs. CIN,CIN,1393.285429145458,20.0,33,PIT,1614.6042652235178,3.0,31,1,2
2025-09-21,@ CLE,0,0,GNB vs. CLE,CLE,1400.0,23.0,13,GNB,1600.0,1.0,10,1,3
2025-09-28,@ DET,0,0,CLE vs. DET,DET,1550.0,7.0,34,CLE,1475.9746926647958,17.0,10,1,24
2025-10-05,@ CLE,0,0,MIN vs. CLE,CLE,1436.469464484013,22.0,17,MIN,1499.8468794603605,12.0,21,0,-4
2025-10-12,@ PIT,1,0,CLE vs. PIT,PIT,1589.9970202978532,3.0,23,CLE,1395.4903714874486,21.0,9,1,14
2025-10-19,@ CLE,0,0,MIA vs. CLE,CLE,1370.883126561784,25.0,31,MIA,1342.1212347822088,25.0,6,1,25
2025-09-04,@ PHI,1,0,DAL vs. PHI,PHI,1500.0,1.0,24,DAL,1500.0,1.0,20,1,4
2025-09-14,@ DAL,1,0,NYG vs. DAL,DAL,1450.0,17.0,40,NYG,1450.0,17.0,37,1,3
2025-09-28,@ DAL,0,0,GNB vs. DAL,DAL,1435.9935000197115,17.0,40,GNB,1524.0253073352042,7.0,40,0,0
2025-10-05,@ NYJ,0,0,DAL vs. NYJ,NYJ,1335.1259927673523,30.0,22,DAL,1398.397971685693,22.0,37,0,-15
2025-10-19,@ DAL,1,0,WAS vs. DAL,DAL,1394.365954976069,20.0,44,WAS,1490.6268939029455,17.0,22,1,22
2025-09-07,@ DEN,0,0,TEN vs. DEN,DEN,1500.0,1.0,20,TEN,1500.0,1.0,12,1,8
2025-09-14,@ IND,0,0,DEN vs. IND,IND,1550.0,1.0,29,DEN,1550.0,1.0,28,1,1
2025-09-21,@ LAC,1,0,DEN vs. LAC,LAC,1600.0,1.0,23,DEN,1500.0,11.0,20,1,3
2025-10-05,@ PHI,0,0,DEN vs. PHI,PHI,1682.701325329304,1.0,17,DEN,1523.9670782482785,12.0,21,0,-4
2025-10-12,@ NYJ,0,0,DEN vs. NYJ,NYJ,1294.1322194061036,28.0,11,DEN,1595.3437243856208,8.0,13,0,-2
