Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2019-11-24,@ NOR,1,0,CAR vs. NOR,NOR,1659.4581909048297,3.0,34,CAR,1482.3805086971138,13.0,31,1,3,-10.0,0,-457.0,374.0
2019-12-01,@ CAR,0,0,WAS vs. CAR,CAR,1455.8649316623887,15.0,21,WAS,1335.5200190931546,25.0,29,0,-8,-10.5,0,-482.0,391.0
2019-12-15,@ CAR,0,0,SEA vs. CAR,CAR,1336.8385327472351,21.0,24,SEA,1674.2719816176696,3.0,30,0,-6,6.0,0,218.0,-250.0
2019-12-22,@ IND,0,0,CAR vs. IND,IND,1389.5458574093968,18.0,38,CAR,1324.3003429538371,21.0,6,1,32,-7.5,1,-308.0,264.0
2019-12-29,@ CAR,1,0,NOR vs. CAR,CAR,1482.3805086971138,13.0,10,NOR,1659.4581909048297,3.0,42,0,-32,13.5,0,510.0,-660.0
2019-09-05,@ CHI,1,0,GNB vs. CHI,CHI,1500.0,1.0,3,GNB,1500.0,1.0,10,0,-7,-3.5,0,-178.0,160.0
2019-09-15,@ DEN,0,0,CHI vs. DEN,DEN,1450.0,16.0,14,CHI,1450.0,16.0,16,0,-2,3.0,1,132.0,-147.0
2019-09-23,@ WAS,0,0,CHI vs. WAS,WAS,1414.0064999802885,23.0,15,CHI,1500.0,10.0,31,0,-16,5.0,0,204.0,-232.0
2019-09-29,@ CHI,1,0,MIN vs. CHI,CHI,1537.8712080630235,8.0,16,MIN,1550.0,8.0,6,1,10,1.0,1,-102.0,-108.0
2019-10-06,@ LVR,0,0,CHI vs. LVR,LVR,1515.842293610764,10.0,24,CHI,1589.615972825212,3.0,21,1,3,6.5,1,232.0,-266.0
2019-10-20,@ CHI,0,0,NOR vs. CHI,CHI,1529.1558230925405,8.0,25,NOR,1678.4131615239783,3.0,36,0,-11,-4.0,0,-213.0,188.0
2019-10-27,@ CHI,0,0,LAC vs. CHI,CHI,1499.405052527004,14.0,16,LAC,1312.6121684940779,21.0,17,0,-1,-3.5,0,-182.0,163.0
2019-11-03,@ PHI,0,0,CHI vs. PHI,PHI,1510.630500868167,13.0,22,CHI,1424.845340013296,16.0,14,1,8,-5.0,1,-226.0,199.0
2019-11-10,@ CHI,1,0,DET vs. CHI,CHI,1386.945909688914,19.0,20,DET,1439.8466568856275,19.0,13,1,7,-6.0,1,-270.0,235.0
2019-11-17,@ LAR,0,0,CHI vs. LAR,LAR,1477.776932537949,9.0,17,CHI,1444.5006479926742,16.0,7,1,10,-5.0,1,-233.0,204.0
2019-11-24,@ CHI,0,0,NYG vs. CHI,CHI,1399.274900810307,16.0,19,NYG,1262.2951001300132,25.0,14,1,5,-6.0,0,-252.0,220.0
2019-11-28,@ DET,1,0,CHI vs. DET,DET,1439.8466568856275,19.0,20,CHI,1386.945909688914,19.0,24,0,-4,5.5,1,203.0,-230.0
2019-12-05,@ CHI,0,0,DAL vs. CHI,CHI,1460.8651036359877,14.0,31,DAL,1451.8465916162033,14.0,24,1,7,3.0,1,150.0,-167.0
2019-12-15,@ GNB,1,0,CHI vs. GNB,GNB,1500.0,1.0,21,CHI,1500.0,1.0,13,1,8,-4.0,1,-218.0,192.0
2019-12-22,@ CHI,0,0,KAN vs. CHI,CHI,1479.8322218501598,14.0,3,KAN,1703.0968567676853,7.0,26,0,-23,6.5,0,254.0,-295.0
2019-12-29,@ MIN,1,0,CHI vs. MIN,MIN,1550.0,8.0,19,CHI,1537.8712080630235,8.0,21,0,-2,5.5,1,203.0,-230.0
2019-09-08,@ SEA,0,0,CIN vs. SEA,SEA,1500.0,1.0,21,CIN,1500.0,1.0,20,1,1,-9.5,0,-398.0,344.0
2019-09-15,@ CIN,0,0,SFO vs. CIN,CIN,1450.0,16.0,17,SFO,1550.0,1.0,41,0,-24,-1.0,0,-107.0,-103.0
2019-09-30,@ PIT,1,0,CIN vs. PIT,PIT,1386.9160182128549,26.0,27,CIN,1386.9160182128549,26.0,3,1,24,-3.5,1,-179.0,160.0
2019-10-20,@ CIN,0,0,JAX vs. CIN,CIN,1265.9393170181886,27.0,17,JAX,1428.4379209228107,15.0,27,0,-10,4.0,0,189.0,-214.0
2019-10-27,@ LAR,0,0,CIN vs. LAR,LAR,1507.1779828639294,11.0,24,CIN,1237.7566185941882,27.0,10,1,14,-12.0,1,-594.0,467.0
2019-11-17,@ LVR,0,0,CIN vs. LVR,LVR,1577.1314855430248,9.0,17,CIN,1213.388344978757,26.0,10,1,7,-13.0,0,-605.0,474.0
2019-11-24,@ CIN,1,0,PIT vs. CIN,CIN,1386.9160182128549,26.0,10,PIT,1386.9160182128549,26.0,16,0,-6,5.5,0,199.0,-225.0
2019-12-01,@ CIN,0,0,NYJ vs. CIN,CIN,1188.8592570442017,28.0,22,NYJ,1467.6753047242269,19.0,6,1,16,2.5,1,111.0,-123.0
2019-12-08,@ CLE,1,0,CIN vs. CLE,CLE,1499.5430890265704,18.0,27,CIN,1272.130780524683,32.0,19,1,8,-6.5,1,-269.0,234.0
2019-12-15,@ CIN,0,0,NWE vs. CIN,CIN,1250.8668725517234,32.0,13,NWE,1604.5293557793334,3.0,34,0,-21,10.5,0,381.0,-468.0
2019-12-22,@ MIA,0,0,CIN vs. MIA,MIA,1279.4598053322813,28.0,38,CIN,1239.3178217958068,32.0,35,1,3,1.5,1,107.0,-118.0
2019-12-29,@ CIN,1,0,CLE vs. CIN,CIN,1272.130780524683,32.0,33,CLE,1499.5430890265704,18.0,23,1,10,2.5,1,124.0,-137.0
2019-09-08,@ CLE,0,0,TEN vs. CLE,CLE,1500.0,1.0,13,TEN,1500.0,1.0,43,0,-30,-5.5,0,-230.0,206.0
2019-09-16,@ NYJ,0,0,CLE vs. NYJ,NYJ,1450.0,16.0,3,CLE,1450.0,16.0,23,0,-20,6.5,0,241.0,-278.0
2019-09-22,@ CLE,0,0,LAR vs. CLE,CLE,1500.0,10.0,13,LAR,1600.0,1.0,20,0,-7,4.0,0,190.0,-215.0
2019-10-07,@ SFO,0,0,CLE vs. SFO,SFO,1613.0839817871451,1.0,31,CLE,1524.4980111475572,10.0,3,1,28,-5.0,1,-226.0,199.0
2019-10-13,@ CLE,0,0,SEA vs. CLE,CLE,1486.977295145699,18.0,28,SEA,1603.2853131893082,3.0,32,0,-4,-1.0,0,-113.0,102.0
2019-10-27,@ NWE,0,0,CLE vs. NWE,NWE,1714.2171738148386,1.0,27,CLE,1453.1169242948313,15.0,13,1,14,-9.5,1,-367.0,309.0
2019-11-03,@ DEN,0,0,CLE vs. DEN,DEN,1400.564642984943,24.0,24,CLE,1434.9192794881299,22.0,19,1,5,4.0,1,173.0,-194.0
2019-11-14,@ CLE,1,0,PIT vs. CLE,CLE,1454.509413048404,18.0,21,PIT,1593.1631205997785,9.0,7,1,14,-3.0,1,-163.0,146.0
2019-11-24,@ CLE,0,0,MIA vs. CLE,CLE,1523.4673788599932,16.0,41,MIA,1359.866618257081,26.0,24,1,17,-11.0,1,-446.0,365.0
2019-12-01,@ PIT,1,0,CLE vs. PIT,PIT,1593.1631205997785,9.0,20,CLE,1454.509413048404,18.0,13,1,7,1.0,1,103.0,-113.0
2019-09-08,@ DAL,1,0,NYG vs. DAL,DAL,1500.0,1.0,35,NYG,1500.0,1.0,17,1,18,-7.0,1,-308.0,271.0
2019-09-15,@ WAS,1,0,DAL vs. WAS,WAS,1450.0,16.0,21,DAL,1550.0,1.0,31,0,-10,6.0,0,233.0,-268.0
2019-09-22,@ DAL,0,0,MIA vs. DAL,DAL,1585.9935000197115,1.0,31,MIA,1414.0064999802885,23.0,6,1,25,-22.0,1,-2540.0,1454.0
2019-09-29,@ NOR,0,0,DAL vs. NOR,NOR,1562.1287919369765,8.0,12,DAL,1613.0839817871451,1.0,10,1,2,2.5,1,127.0,-140.0
2019-10-06,@ DAL,0,0,GNB vs. DAL,DAL,1555.8030684854623,3.0,24,GNB,1549.7707471653662,3.0,34,0,-10,-3.5,0,-181.0,162.0
2019-10-13,@ NYJ,0,0,DAL vs. NYJ,NYJ,1343.5711721631455,28.0,24,DAL,1504.9350348858952,8.0,22,1,2,7.0,1,270.0,-316.0
2019-10-20,@ DAL,1,0,PHI vs. DAL,DAL,1433.250131482292,11.0,37,PHI,1495.9027508854006,11.0,10,1,27,-3.0,1,-165.0,148.0
2019-11-04,@ NYG,1,0,DAL vs. NYG,NYG,1500.0,1.0,18,DAL,1500.0,1.0,37,0,-19,6.5,0,255.0,-297.0
2019-11-10,@ DAL,0,0,MIN vs. DAL,DAL,1522.2672541055342,10.0,24,MIN,1586.7555241475538,7.0,28,0,-4,-3.5,0,-179.0,160.0
2019-11-17,@ DET,0,0,DAL vs. DET,DET,1382.2919185818673,18.0,27,DAL,1481.44273259721,9.0,35,0,-8,7.5,0,310.0,-369.0
2019-11-24,@ NWE,0,0,DAL vs. NWE,NWE,1698.7766715833889,1.0,13,DAL,1517.548927257803,8.0,9,1,4,-5.5,0,-231.0,203.0
2019-12-15,@ DAL,0,0,LAR vs. DAL,DAL,1403.1441684087486,15.0,44,LAR,1608.98843776969,10.0,21,1,23,1.0,1,104.0,-115.0
2019-12-22,@ PHI,1,0,DAL vs. PHI,PHI,1495.9027508854006,11.0,17,DAL,1433.250131482292,11.0,9,1,8,2.0,1,109.0,-120.0
2019-12-29,@ DAL,1,0,WAS vs. DAL,DAL,1550.0,1.0,47,WAS,1450.0,16.0,16,1,31,-13.0,1,-621.0,485.0
2019-09-09,@ LVR,1,0,DEN vs. LVR,LVR,1500.0,1.0,24,DEN,1500.0,1.0,16,1,8,3.0,1,135.0,-149.0
2019-09-22,@ GNB,0,0,DEN vs. GNB,GNB,1600.0,1.0,27,DEN,1400.0,23.0,16,1,11,-7.0,1,-327.0,278.0
2019-09-29,@ DEN,0,0,JAX vs. DEN,DEN,1375.9746926647958,26.0,24,JAX,1462.1287919369765,16.0,26,0,-2,-2.5,0,-137.0,124.0
2019-10-06,@ LAC,1,0,DEN vs. LAC,LAC,1480.7079104761792,10.0,13,DEN,1338.1252342661576,26.0,20,0,-7,-4.0,0,-226.0,199.0
2019-10-13,@ DEN,0,0,TEN vs. DEN,DEN,1407.565250305886,24.0,16,TEN,1441.3715632251349,18.0,0,1,16,-1.0,1,-121.0,109.0
2019-10-17,@ DEN,1,0,KAN vs. DEN,DEN,1462.4150738217397,15.0,6,KAN,1548.6588328051507,6.0,30,0,-24,3.0,0,134.0,-149.0
2019-10-27,@ IND,0,0,DEN vs. IND,IND,1624.6938333141625,10.0,15,DEN,1424.5777557498607,21.0,13,1,2,-6.0,0,-238.0,209.0
2019-11-17,@ MIN,0,0,DEN vs. MIN,MIN,1627.5800456558782,6.0,27,DEN,1455.492622167581,21.0,23,1,4,-10.0,0,-412.0,341.0
2019-12-01,@ DEN,1,0,LAC vs. DEN,DEN,1338.1252342661576,26.0,23,LAC,1480.7079104761792,10.0,20,1,3,4.5,1,183.0,-207.0
2019-12-08,@ HOU,0,0,DEN vs. HOU,HOU,1688.5061213568326,8.0,24,DEN,1443.2419985385843,22.0,38,0,-14,-8.0,0,-389.0,325.0
2019-12-15,@ KAN,1,0,DEN vs. KAN,KAN,1548.6588328051507,6.0,23,DEN,1462.4150738217397,15.0,3,1,20,-10.0,1,-426.0,352.0
