G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
4.0,4.0,2023-10-01,Sun,@,JAX,L,7.0,23.0,,19.0,31.0,0.613,160.0,1.0,5.2,2.9,58.5,4.0,31.0,22.0,127.0,5.7727272727272725,5.8,57.0,287.0,5.04,0.0,0.0,1.0,1.0,5.0,271.0,11.0,6.0,0.0,17.0,6.0,12.0,0.0,1.0,3.0,50.0,1.0,2.0,3.0,27:09,23.0,30.0,0.767,195.0,1.0,6.5,7.17,104.2,2.0,12.0,32.0,105.0,3.28125,3.3,64.0,300.0,4.69,3.0,3.0,2.0,2.0,3.0,160.0,11.0,4.0,1.0,16.0,5.0,14.0,1.0,2.0,3.0,25.0,0.0,0.0,0.0,32:51,0,ATL,NFC South,AFC South
5.0,5.0,2023-10-08,Sun,,HOU,W,21.0,19.0,,29.0,38.0,0.763,351.0,1.0,9.2,9.76,112.9,0.0,0.0,36.0,96.0,2.6666666666666665,2.7,74.0,447.0,6.04,2.0,2.0,1.0,1.0,5.0,200.0,18.0,8.0,0.0,26.0,7.0,14.0,0.0,0.0,7.0,55.0,2.0,0.0,2.0,35:32,20.0,35.0,0.5710000000000001,249.0,1.0,7.1,7.69,88.9,0.0,0.0,23.0,64.0,2.782608695652174,2.8,58.0,313.0,5.4,4.0,4.0,1.0,1.0,6.0,234.0,13.0,3.0,1.0,17.0,4.0,13.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,24:28,0,ATL,NFC South,AFC South
6.0,6.0,2023-10-15,Sun,,WAS,L,16.0,24.0,,28.0,47.0,0.596,296.0,2.0,6.3,4.28,65.6,3.0,11.0,29.0,106.0,3.655172413793104,3.7,79.0,402.0,5.09,1.0,1.0,1.0,1.0,3.0,140.0,18.0,5.0,2.0,25.0,5.0,15.0,1.0,3.0,4.0,31.0,0.0,3.0,3.0,36:23,14.0,23.0,0.609,121.0,3.0,5.3,7.87,114.3,5.0,30.0,22.0,72.0,3.272727272727273,3.3,50.0,193.0,3.86,1.0,1.0,3.0,3.0,6.0,260.0,9.0,3.0,1.0,13.0,2.0,10.0,1.0,1.0,6.0,40.0,0.0,0.0,0.0,23:37,0,ATL,NFC South,NFC East
7.0,7.0,2023-10-22,Sun,@,TAM,W,16.0,13.0,,19.0,25.0,0.76,245.0,0.0,9.8,9.8,106.2,1.0,5.0,38.0,156.0,4.105263157894737,4.1,64.0,401.0,6.27,3.0,3.0,1.0,1.0,3.0,134.0,9.0,10.0,1.0,20.0,7.0,13.0,0.0,0.0,9.0,60.0,3.0,0.0,3.0,29:59,27.0,42.0,0.643,256.0,1.0,6.1,5.5,79.1,3.0,19.0,20.0,73.0,3.65,3.7,65.0,329.0,5.06,2.0,2.0,1.0,1.0,3.0,144.0,13.0,2.0,6.0,21.0,6.0,12.0,0.0,1.0,9.0,66.0,1.0,1.0,2.0,30:01,0,ATL,NFC South,NFC South
8.0,8.0,2023-10-29,Sun,@,TEN,L,23.0,28.0,,20.0,34.0,0.588,202.0,1.0,5.9,6.53,85.7,6.0,44.0,26.0,140.0,5.384615384615385,5.4,66.0,342.0,5.18,3.0,3.0,2.0,2.0,6.0,305.0,12.0,4.0,1.0,17.0,4.0,15.0,1.0,2.0,3.0,15.0,1.0,0.0,1.0,27:01,19.0,29.0,0.655,226.0,4.0,7.8,10.55,128.7,2.0,12.0,36.0,149.0,4.138888888888889,4.1,67.0,375.0,5.6,0.0,0.0,4.0,4.0,8.0,420.0,7.0,9.0,1.0,17.0,5.0,15.0,1.0,1.0,6.0,53.0,1.0,0.0,1.0,32:59,0,ATL,NFC South,AFC South
9.0,9.0,2023-11-05,Sun,,MIN,L,28.0,31.0,,21.0,38.0,0.5529999999999999,260.0,1.0,6.8,6.18,74.5,1.0,8.0,28.0,110.0,3.928571428571429,3.9,67.0,370.0,5.52,4.0,4.0,2.0,2.0,4.0,175.0,12.0,6.0,0.0,18.0,10.0,18.0,0.0,0.0,8.0,62.0,1.0,1.0,2.0,28:28,25.0,36.0,0.6940000000000001,217.0,2.0,6.0,7.14,103.6,4.0,19.0,33.0,146.0,4.424242424242424,4.4,73.0,363.0,4.97,3.0,3.0,2.0,2.0,3.0,133.0,13.0,8.0,2.0,23.0,7.0,16.0,1.0,1.0,1.0,4.0,2.0,0.0,2.0,31:32,0,ATL,NFC South,NFC North
10.0,10.0,2023-11-12,Sun,@,ARI,L,23.0,25.0,,12.0,21.0,0.5710000000000001,70.0,1.0,3.3,4.29,79.5,3.0,24.0,41.0,184.0,4.487804878048781,4.5,65.0,254.0,3.91,1.0,1.0,2.0,2.0,4.0,203.0,5.0,11.0,4.0,20.0,7.0,14.0,1.0,2.0,4.0,43.0,0.0,0.0,0.0,31:42,19.0,32.0,0.594,230.0,0.0,7.2,5.78,68.5,2.0,19.0,26.0,122.0,4.6923076923076925,4.7,60.0,352.0,5.87,4.0,4.0,1.0,1.0,3.0,156.0,11.0,8.0,1.0,20.0,3.0,11.0,1.0,1.0,11.0,112.0,0.0,1.0,1.0,28:18,0,ATL,NFC South,NFC West
11.0,12.0,2023-11-26,Sun,,NOR,W,24.0,15.0,,13.0,21.0,0.619,168.0,1.0,8.0,4.67,63.3,0.0,0.0,41.0,228.0,5.560975609756097,5.6,62.0,396.0,6.39,1.0,1.0,3.0,3.0,2.0,91.0,9.0,15.0,1.0,25.0,4.0,8.0,0.0,1.0,5.0,35.0,0.0,2.0,2.0,28:26,24.0,38.0,0.632,296.0,0.0,7.8,6.61,76.2,1.0,8.0,28.0,148.0,5.285714285714286,5.3,67.0,444.0,6.63,6.0,5.0,0.0,0.0,1.0,46.0,13.0,6.0,3.0,22.0,6.0,14.0,0.0,0.0,6.0,50.0,1.0,1.0,2.0,31:34,0,ATL,NFC South,NFC South
12.0,13.0,2023-12-03,Sun,@,NYJ,W,13.0,8.0,,12.0,27.0,0.444,104.0,1.0,3.9,4.59,67.5,3.0,17.0,34.0,90.0,2.647058823529412,2.6,64.0,194.0,3.03,2.0,2.0,1.0,1.0,9.0,433.0,9.0,3.0,3.0,15.0,4.0,14.0,0.0,0.0,6.0,55.0,0.0,0.0,0.0,29:34,19.0,38.0,0.5,197.0,0.0,5.2,4.0,54.4,4.0,17.0,25.0,62.0,2.48,2.5,67.0,259.0,3.87,2.0,2.0,0.0,0.0,7.0,339.0,9.0,3.0,2.0,14.0,2.0,15.0,2.0,3.0,11.0,71.0,2.0,1.0,3.0,30:26,0,ATL,NFC South,AFC East
13.0,14.0,2023-12-10,Sun,,TAM,L,25.0,29.0,,26.0,40.0,0.65,338.0,1.0,8.5,7.83,89.4,3.0,9.0,26.0,96.0,3.692307692307693,3.7,69.0,434.0,6.29,3.0,1.0,2.0,2.0,4.0,180.0,15.0,6.0,2.0,23.0,5.0,13.0,1.0,1.0,2.0,10.0,0.0,1.0,1.0,28:20,14.0,29.0,0.483,142.0,2.0,4.9,6.28,85.7,1.0,2.0,37.0,148.0,4.0,4.0,67.0,290.0,4.33,2.0,2.0,3.0,3.0,6.0,325.0,8.0,7.0,1.0,16.0,6.0,16.0,1.0,2.0,4.0,26.0,0.0,0.0,0.0,31:40,0,ATL,NFC South,NFC South
