Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2012-10-14,@ PHI,0,0,DET vs. PHI,PHI,1530.960716573719,8.0,23,DET,1403.7080750547386,21.0,26,0,-3,-3.5,0,-186.0,167.0
2012-10-28,@ DET,0,0,SEA vs. DET,DET,1441.3026638757942,20.0,28,SEA,1537.5628308633543,7.0,24,1,4,-3.0,1,-147.0,133.0
2012-11-04,@ JAX,0,0,DET vs. JAX,JAX,1334.6579176123616,26.0,14,DET,1504.8117123253235,14.0,31,0,-17,6.0,0,218.0,-245.0
2012-11-11,@ MIN,1,0,DET vs. MIN,MIN,1551.8357936304756,4.0,34,DET,1437.8712080630235,16.0,24,1,10,3.0,1,154.0,-171.0
2012-11-18,@ DET,1,0,GNB vs. DET,DET,1471.9438986620992,14.0,20,GNB,1625.4823486689675,5.0,24,0,-4,3.0,0,144.0,-160.0
2012-11-22,@ DET,0,0,HOU vs. DET,DET,1442.7055979431134,15.0,31,HOU,1739.3588890976014,1.0,34,0,-3,3.5,1,153.0,-170.0
2012-12-02,@ DET,0,0,IND vs. DET,DET,1427.359027731996,20.0,33,IND,1606.0061873733598,8.0,35,0,-2,-7.0,0,-310.0,273.0
2012-12-09,@ GNB,1,0,DET vs. GNB,GNB,1625.4823486689675,5.0,27,DET,1471.9438986620992,14.0,20,1,7,-6.0,1,-244.0,217.0
2012-09-09,@ GNB,0,0,SFO vs. GNB,GNB,1500.0,1.0,22,SFO,1500.0,1.0,30,0,-8,-6.0,0,-256.0,228.0
2012-09-24,@ SEA,0,0,GNB vs. SEA,SEA,1514.0064999802885,7.0,14,GNB,1514.0064999802885,7.0,12,1,2,3.0,1,155.0,-172.0
2012-09-30,@ GNB,0,0,NOR vs. GNB,GNB,1464.0064999802885,16.0,28,NOR,1350.0,31.0,27,1,1,-7.5,0,-350.0,305.0
2012-10-07,@ IND,0,0,GNB vs. IND,IND,1450.0,16.0,30,GNB,1498.1642063695244,11.0,27,1,3,6.5,1,231.0,-260.0
2012-10-14,@ HOU,0,0,GNB vs. HOU,HOU,1681.5362792410128,1.0,24,GNB,1441.276882857811,17.0,42,0,-18,-4.0,0,-196.0,176.0
2012-10-21,@ LAR,0,0,GNB vs. LAR,LAR,1530.951320687558,9.0,20,GNB,1521.224830555709,9.0,30,0,-10,4.0,0,193.0,-215.0
2012-10-28,@ GNB,0,0,JAX vs. GNB,GNB,1572.6242194451663,7.0,24,JAX,1357.0889756136332,24.0,15,1,9,-15.0,0,-900.0,704.0
2012-11-25,@ NYG,0,0,GNB vs. NYG,NYG,1523.3918670157486,10.0,38,GNB,1654.7206493879532,4.0,10,1,28,-1.0,1,-132.0,120.0
2012-12-02,@ GNB,1,0,MIN vs. GNB,GNB,1586.6724171853025,8.0,23,MIN,1478.8489311414266,11.0,14,1,9,-7.0,1,-365.0,318.0
2012-12-23,@ GNB,0,0,TEN vs. GNB,GNB,1672.5224783696015,4.0,55,TEN,1462.5672288083144,22.0,7,1,48,-10.5,1,-584.0,486.0
2012-12-30,@ MIN,1,0,GNB vs. MIN,MIN,1478.8489311414266,11.0,37,GNB,1586.6724171853025,8.0,34,1,3,3.0,1,155.0,-172.0
2013-01-05,@ GNB,1,1,MIN vs. GNB,GNB,1637.4799459300905,5.0,24,MIN,1697.2163892351,9.0,10,1,14,-7.0,1,-365.0,318.0
2013-01-12,@ SFO,0,1,GNB vs. SFO,SFO,1500.0,1.0,45,GNB,1500.0,1.0,31,1,14,-3.0,1,-162.0,146.0
2012-09-09,@ HOU,0,0,MIA vs. HOU,HOU,1500.0,1.0,30,MIA,1500.0,1.0,10,1,20,-13.0,1,-720.0,583.0
2012-09-16,@ JAX,1,0,HOU vs. JAX,JAX,1450.0,17.0,7,HOU,1550.0,1.0,27,0,-20,6.5,0,244.0,-275.0
2012-09-30,@ HOU,1,0,TEN vs. HOU,HOU,1623.864708082735,1.0,38,TEN,1476.135291917265,16.0,14,1,24,-13.0,1,-700.0,569.0
2012-10-08,@ NYJ,0,0,HOU vs. NYJ,NYJ,1487.4540117468637,11.0,17,HOU,1653.7996271148588,1.0,23,0,-6,9.5,1,354.0,-410.0
2012-11-18,@ HOU,1,0,JAX vs. HOU,HOU,1550.0,1.0,43,JAX,1450.0,17.0,37,1,6,-15.0,0,-1350.0,925.0
2012-12-02,@ TEN,1,0,HOU vs. TEN,TEN,1476.135291917265,16.0,10,HOU,1623.864708082735,1.0,24,0,-14,7.0,0,260.0,-295.0
2012-12-10,@ NWE,0,0,HOU vs. NWE,NWE,1719.6293644626405,3.0,42,HOU,1768.46468413727,1.0,14,1,28,-5.5,1,-232.0,207.0
2012-12-16,@ HOU,1,0,IND vs. HOU,HOU,1711.4826375144357,1.0,29,IND,1655.3112340016846,5.0,17,1,12,-10.5,1,-500.0,423.0
2012-12-23,@ HOU,0,0,MIN vs. HOU,HOU,1753.468626319484,1.0,6,MIN,1564.3681032975235,10.0,23,0,-17,-7.5,0,-350.0,305.0
2012-12-30,@ IND,1,0,HOU vs. IND,IND,1655.3112340016846,5.0,28,HOU,1711.4826375144357,1.0,16,1,12,6.5,1,241.0,-272.0
2013-01-13,@ NWE,0,1,HOU vs. NWE,NWE,1736.0414813547516,3.0,41,HOU,1667.9837841455878,1.0,28,1,13,-5.5,1,-232.0,207.0
2012-09-16,@ IND,0,0,MIN vs. IND,IND,1450.0,17.0,23,MIN,1550.0,1.0,20,1,3,3.0,1,128.0,-141.0
2012-09-23,@ IND,1,0,JAX vs. IND,IND,1514.0064999802885,7.0,17,JAX,1414.0064999802885,27.0,22,0,-5,-3.0,0,-173.0,156.0
2012-10-14,@ NYJ,0,0,IND vs. NYJ,NYJ,1459.7173596207097,17.0,35,IND,1506.8873235117135,15.0,9,1,26,-3.5,1,-185.0,166.0
2012-10-28,@ TEN,1,0,IND vs. TEN,TEN,1534.3112747282578,14.0,13,IND,1491.2683474109622,11.0,19,0,-6,-3.5,0,-170.0,153.0
2012-11-04,@ IND,0,0,MIA vs. IND,IND,1547.4312252836871,8.0,23,MIA,1596.6863305877264,8.0,20,1,3,2.5,1,118.0,-130.0
2012-11-08,@ JAX,1,0,IND vs. JAX,JAX,1414.0064999802885,27.0,10,IND,1514.0064999802885,7.0,27,0,-17,3.0,0,149.0,-165.0
2012-11-18,@ NWE,0,0,IND vs. NWE,NWE,1626.4145230086206,5.0,59,IND,1619.7846441063703,5.0,24,1,35,-10.0,1,-470.0,400.0
2012-12-09,@ IND,1,0,TEN vs. IND,IND,1491.2683474109622,11.0,27,TEN,1534.3112747282578,14.0,23,1,4,-3.5,1,-190.0,171.0
2012-12-23,@ KAN,0,0,IND vs. KAN,KAN,1216.5745994735928,31.0,13,IND,1613.3252451966364,7.0,20,0,-7,4.5,0,186.0,-208.0
2012-09-09,@ MIN,0,0,JAX vs. MIN,MIN,1500.0,1.0,26,JAX,1500.0,1.0,23,1,3,-3.5,0,-194.0,174.0
2012-10-21,@ LVR,0,0,JAX vs. LVR,LVR,1398.896151122494,26.0,26,JAX,1408.4658124144366,23.0,23,1,3,-6.0,0,-270.0,239.0
2012-11-25,@ JAX,1,0,TEN vs. JAX,JAX,1284.6857071778788,27.0,24,TEN,1514.8589526761702,20.0,19,1,5,3.5,1,144.0,-160.0
2012-12-09,@ JAX,0,0,NYJ vs. JAX,JAX,1323.1118694750496,31.0,10,NYJ,1464.0696692027702,18.0,17,0,-7,3.0,0,146.0,-162.0
2012-12-16,@ MIA,0,0,JAX vs. MIA,MIA,1431.6505423158985,20.0,24,JAX,1292.3530352277758,31.0,3,1,21,-7.5,1,-355.0,310.0
2012-12-23,@ JAX,0,0,NWE vs. JAX,JAX,1261.390275893949,31.0,16,NWE,1705.8560588749951,4.0,23,0,-7,14.0,1,638.0,-800.0
2012-12-30,@ TEN,1,0,JAX vs. TEN,TEN,1514.8589526761702,20.0,38,JAX,1284.6857071778788,27.0,20,1,18,-6.0,1,-255.0,227.0
2012-09-23,@ NOR,0,0,KAN vs. NOR,NOR,1400.0,27.0,24,KAN,1400.0,27.0,27,0,-3,-9.0,0,-373.0,324.0
2012-09-30,@ KAN,1,0,LAC vs. KAN,KAN,1450.0,16.0,20,LAC,1538.008106127738,4.0,37,0,-17,2.5,0,118.0,-130.0
2012-10-14,@ TAM,0,0,KAN vs. TAM,TAM,1386.283421894944,21.0,38,KAN,1384.291659759876,23.0,10,1,28,-5.0,1,-235.0,210.0
2012-10-28,@ KAN,1,0,LVR vs. KAN,KAN,1334.5782942324172,27.0,16,LVR,1450.2729879232975,20.0,26,0,-10,-1.0,0,-116.0,105.0
2012-11-01,@ LAC,1,0,KAN vs. LAC,LAC,1538.008106127738,4.0,31,KAN,1450.0,16.0,13,1,18,-7.5,1,-300.0,264.0
2012-11-12,@ PIT,0,0,KAN vs. PIT,PIT,1617.3406588834864,7.0,16,KAN,1261.3703420949234,27.0,13,1,3,-12.5,0,-610.0,505.0
2012-12-16,@ LVR,1,0,KAN vs. LVR,LVR,1450.2729879232975,20.0,15,KAN,1334.5782942324172,27.0,0,1,15,-4.5,1,-210.0,188.0
2012-09-10,@ LVR,1,0,LAC vs. LVR,LVR,1500.0,1.0,14,LAC,1500.0,1.0,22,0,-8,-1.0,0,-114.0,103.0
2012-09-16,@ LAC,0,0,TEN vs. LAC,LAC,1550.0,1.0,38,TEN,1450.0,17.0,10,1,28,-6.5,1,-243.0,217.0
2012-10-07,@ NOR,0,0,LAC vs. NOR,NOR,1315.842293610764,29.0,31,LAC,1575.6068354572337,4.0,24,1,7,-3.5,1,-175.0,158.0
2012-11-11,@ TAM,0,0,LAC vs. TAM,TAM,1511.6280237110375,12.0,34,LAC,1415.655386608509,12.0,24,1,10,-3.0,1,-168.0,152.0
2012-12-09,@ PIT,0,0,LAC vs. PIT,PIT,1576.2290937840362,10.0,24,LAC,1316.5843523142503,23.0,34,0,-10,-7.0,0,-350.0,305.0
2012-12-23,@ NYJ,0,0,LAC vs. NYJ,NYJ,1431.3949014149669,17.0,17,LAC,1349.7591600959408,22.0,27,0,-10,-3.0,0,-160.0,144.0
2012-12-30,@ LAC,1,0,LVR vs. LAC,LAC,1500.0,1.0,24,LVR,1500.0,1.0,21,1,3,-9.5,0,-350.0,305.0
2012-09-16,@ LAR,0,0,WAS vs. LAR,LAR,1450.0,17.0,31,WAS,1550.0,1.0,28,1,3,3.5,1,171.0,-190.0
2012-09-30,@ LAR,1,0,SEA vs. LAR,LAR,1459.9838184071837,16.0,19,SEA,1564.0064999802885,4.0,13,1,6,2.0,1,118.0,-130.0
2012-10-14,@ MIA,0,0,LAR vs. MIA,MIA,1496.148914560186,17.0,17,LAR,1594.7754765068273,8.0,14,1,3,-5.5,0,-225.0,201.0
2012-10-28,@ LAR,0,0,NWE vs. LAR,LAR,1479.551931798101,14.0,7,NWE,1559.9962359359008,7.0,45,0,-38,7.5,0,269.0,-305.0
2012-11-11,@ SFO,1,0,LAR vs. SFO,SFO,1644.938816908167,3.0,24,LAR,1440.9262629975794,20.0,24,1,0,-13.5,0,-660.0,541.0
2012-11-18,@ LAR,0,0,NYJ vs. LAR,LAR,1417.3200361615088,21.0,13,NYJ,1392.865786246605,21.0,27,0,-14,-3.5,0,-182.0,164.0
2012-12-02,@ LAR,1,0,SFO vs. LAR,LAR,1440.9262629975794,20.0,16,SFO,1644.938816908167,3.0,13,1,3,7.0,1,289.0,-330.0
2012-12-16,@ LAR,0,0,MIN vs. LAR,LAR,1545.9838542249051,17.0,22,MIN,1509.076612952592,12.0,36,0,-14,-1.0,0,-133.0,120.0
2012-12-23,@ TAM,0,0,LAR vs. TAM,TAM,1377.891083988615,17.0,13,LAR,1490.6923638799738,17.0,28,0,-15,-3.0,0,-155.0,140.0
2012-12-30,@ SEA,1,0,LAR vs. SEA,SEA,1564.0064999802885,4.0,20,LAR,1459.9838184071837,16.0,13,1,7,-11.0,0,-485.0,412.0
2012-09-16,@ MIA,0,0,LVR vs. MIA,MIA,1450.0,17.0,35,LVR,1450.0,17.0,13,1,22,1.0,1,113.0,-125.0
2012-09-23,@ LVR,0,0,PIT vs. LVR,LVR,1400.0,27.0,34,PIT,1514.0064999802885,7.0,31,1,3,3.5,1,180.0,-200.0
2012-11-04,@ LVR,0,0,TAM vs. LVR,LVR,1484.212471520726,14.0,32,TAM,1457.8399911176211,14.0,42,0,-10,-1.0,0,-111.0,101.0
2012-11-18,@ LVR,0,0,NOR vs. LVR,LVR,1404.1093414957325,21.0,17,NOR,1550.4789214526213,14.0,38,0,-21,6.0,0,211.0,-236.0
